Rank ,State or union territory ,Population (1951 Census)[11] ,Population (1961 Census)[11] ,Population (1971 Census)[11] ,Population (1981 Census)[11] ,Population (1991 Census)[11] ,Population (2001 Census)[11] ,Population (2011 Census)[11] 
1,Uttar Pradesh ,60274800,70144160,83849775,105113300,132062800,166053600,199581477
2,Maharashtra ,32002500,39554900,50412240,62782820,78937190,96752500,112372972
3,Bihar ,29085900,34841490,42126800,52303000,64531200,82879910,103804630
4,West Bengal ,26300670,34926000,44312017,54580650,68077970,80221300,91347736
5,Madhya Pradesh ,18615700,23218950,30017180,38169500,48566800,60385090,72597565
6,Tamil Nadu ,30119680,33687100,41199170,48408080,55859300,62111390,72138958
7,Rajasthan ,15971130,20156540,25765810,34361860,44005990,56473300,68621012
8,Karnataka ,19402500,23587910,29299015,37135710,44977200,52734986,61130704
9,Gujarat ,16263700,20633305,26697488,34085800,41309580,50597200,60383628
10,Andhra Pradesh ,31115000,35983480,43502710,53551030,66508170,75728400,84580777
11,Odisha ,14646100,17549500,21944625,26370270,31659740,36707900,41947358
12,Telangana ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,35193978
13,Kerala ,13549000,16904560,21347300,25453680,29098523,31839000,33387677
14,Jharkhand ,9697300,11606504,14227493,17612000,21844550,26946070,32988134
15,Assam ,8029100,10837700,14625157,18041250,22414320,26638600,31169272
16,Punjab ,9160990,11135404,13551069,16788920,20281971,24289130,27704236
17,Haryana ,5674400,7591190,10036430,12922122,16464600,21083900,25753081
18,Chhattisgarh ,7457700,9154330,11637800,14010110,17615600,20834530,25540196
19,Jammu and Kashmir ,3254650,3561100,4616632,5987389,7718700,10070300,12548926
20,Uttarakhand ,2946900,3611200,4493800,5726550,7051600,8489100,10116752
21,Himachal Pradesh ,2386940,2812300,3460434,4280818,5170877,6077453,6856509
22,Tripura ,639984,1142282,1556342,2053058,2757205,3191880,3671032
23,Meghalaya ,606300,769990,1011699,1335819,1774778,2306540,2964007
24,Manipurβ ,578060,780340,1073509,1421290,1837900,2294480,2721756
25,Nagaland ,213700,369309,516110,775570,1210492,1990275,1980602
26,Goa ,547000,590875,795997,1008373,1170115,1348900,1457723
27,Arunachal Pradesh ,NA ,337300,468885,632502,865900,1098328,1382611
28,Mizoram ,196970,266200,332190,494440,690963,889690,1091014
29,Sikkim ,138093,162863,210205,316840,406000,541902,607688
UT1 ,Delhi ,1744500,2659990,4066400,6220973,9421311,13851503,16753235
UT2 ,Puducherry ,317407,369355,472836,604281,808117,974820,1244464
UT3 ,Chandigarh ,24948,120480,257100,452960,642374,901080,1054686
UT4 ,Andaman and Nicobar Islands ,31480,64160,115874,189496,281990,356650,379944
UT5 ,Dadra and Nagar Haveli ,42846,58020,74880,104300,138290,220963,342853
UT6 ,Daman and Diu ,49482,37587,63000,79842,102110,158080,242911
UT7 ,Lakshadweep ,21000,24370,32900,40250,52820,61300,64429
Total ,India ,361088400,439235720,548160050,683329900,846421830,1028737690,1210193422
Total ,India ,1210569573,17.7% ,"833,463,448 
(68.84%) ","377,106,125 
(31.16%) ","3,287,240 km2 (1,269,210 sq mi)[f] ",382/km2 (990/sq mi) ,940
